start,end,num
21,24,1 
42,45,1 
69,72,1 
81,90,3 
93,96,1 
117,120,1 
299999970,299999973,1 
138,141,1 
599999973,599999976,1 
899999970,899999973,1 
162,165,1 
599999985,599999994,3 
299999976,299999985,3 
899999976,899999985,3 
168,177,3 
599999997,600000000,1 
299999994,299999997,1 
899999994,899999997,1 
186,189,1 
600000021,600000024,1 
300000021,300000024,1 
900000021,900000024,1 
213,216,1 
600000042,600000045,1 
300000042,300000045,1 
900000042,900000045,1 
234,237,1 
600000069,600000072,1 
300000069,300000072,1 
900000069,900000072,1 
261,264,1 
600000081,600000090,3 
300000081,300000090,3 
900000081,900000090,3 
273,282,3 
600000093,600000096,1 
300000093,300000096,1 
900000093,900000096,1 
285,288,1 
600000117,600000120,1 
300000117,300000120,1 
900000117,900000120,1 
309,312,1 
600000138,600000141,1 
300000138,300000141,1 
900000138,900000141,1 
321,330,3 
600000162,600000165,1 
300000162,300000165,1 
900000162,900000165,1 
333,354,7 
600000168,600000177,3 
300000168,300000177,3 
900000168,900000177,3 
357,360,1 
600000186,600000189,1 
300000186,300000189,1 
900000186,900000189,1 
369,378,3 
600000213,600000216,1 
300000213,300000216,1 
900000213,900000216,1 
381,384,1 
600000234,600000237,1 
300000234,300000237,1 
900000234,900000237,1 
405,408,1 
600000261,600000264,1 
300000261,300000264,1 
900000258,900000261,1 
426,429,1 
600000273,600000282,3 
300000273,300000282,3 
900000264,900000273,3 
453,456,1 
600000285,600000288,1 
300000285,300000288,1 
900000282,900000285,1 
465,474,3 
600000309,600000312,1 
300000309,300000312,1 
900000288,900000309,7 
477,480,1 
600000321,600000330,3 
300000321,300000330,3 
900000312,900000321,3 
501,504,1 
600000333,600000354,7 
300000333,300000354,7 
900000330,900000333,1 
522,525,1 
600000357,600000360,1 
300000357,300000360,1 
900000354,900000357,1 
546,549,1 
600000369,600000378,3 
300000369,300000378,3 
900000360,900000369,3 
552,561,3 
600000381,600000384,1 
300000381,300000384,1 
900000378,900000381,1 
570,573,1 
600000405,600000408,1 
300000405,300000408,1 
900000384,900000405,7 
597,600,1 
600000426,600000429,1 
300000426,300000429,1 
900000408,900000426,6 
618,621,1 
600000453,600000456,1 
300000453,300000456,1 
900000429,900000453,8 
642,645,1 
600000465,600000474,3 
300000465,300000474,3 
900000456,900000465,3 
648,657,3 
600000477,600000480,1 
300000477,300000480,1 
900000474,900000477,1 
666,669,1 
600000501,600000504,1 
300000501,300000504,1 
900000480,900000501,7 
672,693,7 
600000522,600000525,1 
300000513,300000522,3 
900000504,900000513,3 
696,705,3 
600000546,600000549,1 
300000525,300000546,7 
900000522,900000525,1 
714,717,1 
600000552,600000561,3 
300000549,300000552,1 
900000546,900000549,1 
738,741,1 
600000570,600000573,1 
300000561,300000570,3 
900000552,900000561,3 
744,753,3 
600000597,600000600,1 
300000573,300000597,8 
900000570,900000573,1 
762,765,1 
600000618,600000621,1 
300000600,300000618,6 
900000597,900000600,1 
789,792,1 
600000642,600000645,1 
300000621,300000642,7 
900000618,900000621,1 
810,813,1 
600000648,600000657,3 
300000645,300000648,1 
900000642,900000645,1 
837,840,1 
600000666,600000669,1 
300000657,300000666,3 
900000648,900000657,3 
849,858,3 
600000672,600000693,7 
300000669,300000672,1 
900000666,900000669,1 
861,864,1 
600000696,600000705,3 
300000693,300000696,1 
900000672,900000693,7 
885,888,1 
600000714,600000717,1 
300000705,300000714,3 
900000696,900000705,3 
906,909,1 
600000738,600000741,1 
300000717,300000738,7 
900000714,900000717,1 
930,933,1 
600000744,600000753,3 
300000741,300000744,1 
900000738,900000741,1 
936,945,3 
600000762,600000765,1 
300000753,300000762,3 
900000744,900000753,3 
954,957,1 
600000789,600000792,1 
300000765,300000768,1 
900000762,900000765,1 
981,984,1 
600000810,600000813,1 
300000789,300000792,1 
900000789,900000792,1 
1002,1005,1 
600000837,600000840,1 
300000810,300000813,1 
900000810,900000813,1 
1029,1032,1 
600000849,600000858,3 
300000837,300000840,1 
900000837,900000840,1 
1041,1050,3 
600000861,600000864,1 
300000849,300000858,3 
900000849,900000858,3 
1053,1056,1 
600000885,600000888,1 
300000861,300000864,1 
900000861,900000864,1 
1077,1080,1 
600000906,600000909,1 
300000885,300000888,1 
900000885,900000888,1 
1089,1098,3 
600000930,600000933,1 
300000906,300000909,1 
900000906,900000909,1 
1101,1122,7 
600000936,600000945,3 
300000930,300000933,1 
900000930,900000933,1 
1125,1128,1 
600000954,600000957,1 
300000936,300000945,3 
900000936,900000945,3 
1137,1146,3 
600000981,600000984,1 
300000954,300000957,1 
900000954,900000957,1 
1149,1152,1 
600001002,600001005,1 
300000981,300000984,1 
900000981,900000984,1 
1173,1176,1 
600001026,600001029,1 
300001002,300001005,1 
900001002,900001005,1 
1194,1197,1 
600001032,600001041,3 
300001029,300001032,1 
900001029,900001032,1 
1221,1224,1 
600001050,600001053,1 
300001041,300001050,3 
900001041,900001050,3 
1233,1242,3 
600001056,600001077,7 
300001053,300001056,1 
900001053,900001056,1 
1245,1248,1 
600001080,600001089,3 
300001077,300001080,1 
900001077,900001080,1 
1269,1272,1 
600001098,600001101,1 
300001089,300001098,3 
900001089,900001098,3 
1281,1290,3 
600001122,600001125,1 
300001101,300001122,7 
900001101,900001122,7 
1293,1314,7 
600001128,600001137,3 
300001125,300001128,1 
900001125,900001128,1 
1317,1320,1 
600001146,600001149,1 
300001137,300001146,3 
900001137,900001146,3 
1329,1338,3 
600001152,600001173,7 
300001149,300001152,1 
900001149,900001152,1 
1341,1365,8 
600001176,600001194,6 
300001173,300001176,1 
900001173,900001176,1 
1368,1386,6 
600001197,600001221,8 
300001194,300001197,1 
900001194,900001197,1 
1389,1410,7 
600001224,600001233,3 
300001221,300001224,1 
900001221,900001224,1 
1413,1416,1 
600001242,600001245,1 
300001233,300001242,3 
900001233,900001242,3 
1425,1434,3 
600001248,600001269,7 
300001245,300001248,1 
900001245,900001248,1 
1437,1440,1 
600001272,600001281,3 
300001269,300001272,1 
900001269,900001272,1 
1461,1464,1 
600001290,600001293,1 
300001290,300001293,1 
900001290,900001293,1 
1473,1482,3 
600001314,600001317,1 
300001314,300001317,1 
900001314,900001317,1 
1485,1506,7 
600001320,600001329,3 
300001320,300001329,3 
900001320,900001329,3 
1509,1512,1 
600001338,600001341,1 
300001338,300001341,1 
900001338,900001341,1 
1521,1530,3 
600001365,600001368,1 
300001365,300001368,1 
900001365,900001368,1 
1533,1536,1 
600001386,600001389,1 
300001386,300001389,1 
900001386,900001389,1 
1557,1560,1 
600001410,600001413,1 
300001410,300001413,1 
900001410,900001413,1 
1578,1581,1 
600001416,600001425,3 
300001416,300001425,3 
900001416,900001425,3 
1605,1608,1 
600001434,600001437,1 
300001434,300001437,1 
900001434,900001437,1 
1617,1626,3 
600001440,600001461,7 
300001440,300001461,7 
900001440,900001461,7 
1629,1632,1 
600001464,600001473,3 
300001464,300001473,3 
900001464,900001473,3 
1653,1656,1 
600001482,600001485,1 
300001482,300001485,1 
900001482,900001485,1 
1674,1677,1 
600001506,600001509,1 
300001506,300001509,1 
900001506,900001509,1 
1698,1701,1 
600001512,600001521,3 
300001512,300001521,3 
900001512,900001521,3 
1704,1713,3 
600001530,600001533,1 
300001530,300001533,1 
900001530,900001533,1 
1722,1725,1 
600001557,600001560,1 
300001557,300001560,1 
900001557,900001560,1 
1749,1752,1 
600001578,600001581,1 
300001578,300001581,1 
900001578,900001581,1 
1770,1773,1 
600001605,600001608,1 
300001605,300001608,1 
900001605,900001608,1 
1797,1800,1 
600001617,600001626,3 
300001617,300001626,3 
900001617,900001626,3 
1809,1818,3 
600001629,600001632,1 
300001629,300001632,1 
900001629,900001632,1 
1821,1824,1 
600001653,600001656,1 
300001653,300001656,1 
900001653,900001656,1 
1845,1848,1 
600001674,600001677,1 
300001674,300001677,1 
900001674,900001677,1 
1857,1866,3 
600001698,600001701,1 
300001698,300001701,1 
900001698,900001701,1 
1869,1890,7 
600001704,600001713,3 
300001704,300001713,3 
900001704,900001713,3 
1893,1896,1 
600001722,600001725,1 
300001722,300001725,1 
900001722,900001725,1 
1905,1914,3 
600001749,600001752,1 
300001749,300001752,1 
900001749,900001752,1 
1917,1920,1 
600001770,600001773,1 
300001770,300001773,1 
900001770,900001773,1 
1941,1944,1 
600001797,600001800,1 
300001794,300001797,1 
900001797,900001800,1 
1962,1965,1 
600001809,600001818,3 
300001800,300001809,3 
900001809,900001818,3 
1989,1992,1 
600001821,600001824,1 
300001818,300001821,1 
900001821,900001824,1 
2001,2010,3 
600001845,600001848,1 
300001824,300001845,7 
900001845,900001848,1 
2013,2016,1 
600001857,600001866,3 
300001848,300001857,3 
900001857,900001866,3 
2037,2040,1 
600001869,600001890,7 
300001866,300001869,1 
900001869,900001890,7 
2058,2061,1 
600001893,600001896,1 
300001890,300001893,1 
900001893,900001896,1 
900001905,900001914,3 
600001905,600001914,3 
300001896,300001905,3 
900001917,900001920,1 
2082,2085,1 
600001917,600001920,1 
300001914,300001917,1 
900001941,900001944,1 
2088,2097,3 
600001941,600001944,1 
300001920,300001941,7 
900001962,900001965,1 
2106,2109,1 
600001962,600001965,1 
300001944,300001962,6 
900001989,900001992,1 
2133,2136,1 
600001989,600001992,1 
300001965,300001989,8 
900002001,900002010,3 
2154,2157,1 
600002001,600002010,3 
300001992,300002001,3 
900002013,900002016,1 
2178,2181,1 
600002013,600002016,1 
300002010,300002013,1 
900002037,900002040,1 
2184,2193,3 
600002037,600002040,1 
300002016,300002037,7 
900002049,900002058,3 
2202,2205,1 
600002058,600002061,1 
300002040,300002049,3 
900002061,900002082,7 
2208,2229,7 
600002082,600002085,1 
300002058,300002061,1 
900002085,900002088,1 
2232,2241,3 
600002088,600002097,3 
300002082,300002085,1 
900002097,900002106,3 
2250,2253,1 
600002106,600002109,1 
300002088,300002097,3 
900002109,900002133,8 
2274,2277,1 
600002133,600002136,1 
300002106,300002109,1 
900002136,900002154,6 
2280,2289,3 
600002154,600002157,1 
300002133,300002136,1 
900002157,900002178,7 
2298,2301,1 
600002178,600002181,1 
300002154,300002157,1 
900002181,900002184,1 
2325,2328,1 
600002184,600002193,3 
300002178,300002181,1 
900002193,900002202,3 
2346,2349,1 
600002202,600002205,1 
300002184,300002193,3 
900002205,900002208,1 
2373,2376,1 
600002208,600002229,7 
300002202,300002205,1 
900002229,900002232,1 
2385,2394,3 
600002232,600002241,3 
300002208,300002229,7 
900002241,900002250,3 
2397,2400,1 
600002250,600002253,1 
300002232,300002241,3 
900002253,900002274,7 
2421,2424,1 
600002274,600002277,1 
300002250,300002253,1 
900002277,900002280,1 
2442,2445,1 
600002280,600002289,3 
600002298,600002301,1 
900002289,900002298,3 
2466,2469,1 
300002274,300002277,1 
600002325,600002328,1 
900002301,900002304,1 
2472,2481,3 
300002280,300002289,3 
600002346,600002349,1 
900002325,900002328,1 
2490,2493,1 
300002298,300002301,1 
600002373,600002376,1 
900002346,900002349,1 
2517,2520,1 
300002325,300002328,1 
600002385,600002394,3 
900002373,900002376,1 
2538,2541,1 
